Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
INTC,Intel Corporation Common Stock,$46.57,0.40,0.866%,190843860000.00,United States,,22553841,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$376.92,-3.05,-0.803%,103293351605.00,United States,1993,900939,Technology,Computer Software: Prepackaged Software
IPGP,IPG Photonics Corporation Common Stock,$220.16,1.40,0.64%,11734673306.00,United States,2006,182854,Technology,Semiconductors
IQ,iQIYI Inc. American Depositary Shares,$17.11,0.14,0.825%,12720604570.00,China,2018,8701300,Consumer Services,Consumer Electronics/Video Chains
ISRG,Intuitive Surgical Inc. Common Stock,$809.65,-5.60,-0.687%,95178797621.00,United States,2000,643861,Health Care,Industrial Specialties
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$138.44,-1.42,-1.015%,14630194530.00,United States,,449315,Transportation,Trucking Freight/Courier Services
JD,JD.com Inc. American Depositary Shares,$85.46,2.67,3.225%,132452488420.00,China,2014,13200353,Consumer Services,Other Specialty Stores
JKHY,Jack Henry & Associates Inc. Common Stock,$155.93,1.21,0.782%,11899980388.00,United States,1985,473840,Technology,EDP Services
KDP,Keurig Dr Pepper Inc. Common Stock,$31.61,0.54,1.738%,44483276623.00,United States,,2889291,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$34.80,0.41,1.192%,42547286246.00,United States,,3577528,Consumer Non-Durables,Packaged Foods
KLAC,KLA Corporation Common Stock,$252.79,-4.80,-1.863%,39045897139.00,United States,1980,676409,Capital Goods,Electronic Components
LAZR,Luminar Technologies Inc.  Class A Common Stock,$35.22,-2.15,-5.753%,11409034373.00,United States,2019,13776743,Capital Goods,Auto Parts:O.E.M.
LBRDA,Liberty Broadband Corporation Class A Common Stock,$155.83,3.76,2.473%,27814910600.00,United States,,259740,Consumer Services,Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$157.02,2.36,1.526%,28027319915.00,United States,,2879880,Consumer Services,Television Services
LBTYA,Liberty Global plc Class A Ordinary Shares,$24.29,0.51,2.145%,14163648554.00,United Kingdom,,1126131,,
LBTYB,Liberty Global plc Class B Ordinary Shares,$25.15,0.00,0.00%,14665119849.00,United Kingdom,,216,Consumer Services,Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$23.71,0.49,2.11%,13825446982.00,United Kingdom,,3101341,,
LI,Li Auto Inc. American Depositary Shares,$30.56,-0.73,-2.333%,27430477377.00,China,2020,14640300,Capital Goods,Auto Manufacturing
LKQ,LKQ Corporation Common Stock,$36.25,0.27,0.75%,11032516400.00,United States,,1258892,Consumer Services,Motor Vehicles
LNT,Alliant Energy Corporation Common Stock,$49.54,-0.635,-1.266%,12373143245.00,United States,,1005314,Public Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$93.81,-1.21,-1.273%,15867927916.00,United States,1997,324183,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$471.13,-5.82,-1.22%,67847063819.00,United States,1984,720458,Technology,Industrial Machinery/Components
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$42.57,0.29,0.686%,14489339838.00,United States,,394926,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$43.3701,0.00,0.00%,14761665908.00,United States,,21,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$42.68,0.23,0.542%,14526779993.00,United States,,283982,Consumer Services,Broadcasting
LULU,lululemon athletica inc. Common Stock,$355.13,-4.94,-1.372%,46286949921.00,Canada,2007,1347052,Consumer Non-Durables,Apparel
LYFT,Lyft Inc. Class A Common Stock,$50.07,0.56,1.131%,15898378112.00,United States,2019,5988055,Miscellaneous,Business Services
MAR,Marriott International Class A Common Stock,$128.61,2.35,1.861%,41712301995.00,United States,,1623774,Consumer Services,Hotels/Resorts
MASI,Masimo Corporation Common Stock,$265.49,-1.10,-0.413%,14616610092.00,United States,2007,145448,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MCHP,Microchip Technology Incorporated Common Stock,$136.00,-0.95,-0.694%,36563029072.00,United States,1993,1057337,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$376.22,-19.78,-4.995%,22673394158.00,United States,2017,1501583,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$57.35,0.19,0.332%,82019834458.00,United States,,4273378,Consumer Non-Durables,Packaged Foods
MELI,MercadoLibre Inc. Common Stock,$1670.01,-62.38,-3.601%,83127441476.00,Argentina,2007,419160,Miscellaneous,Business Services
MKTX,MarketAxess Holdings Inc. Common Stock,$572.97,-17.35,-2.939%,21751936282.00,United States,2004,179194,Finance,Investment Bankers/Brokers/Service
MNST,Monster Beverage Corporation,$88.94,0.67,0.759%,46952916368.00,United States,,1416000,Consumer Non-Durables,Beverages (Production/Distribution)
MPWR,Monolithic Power Systems Inc. Common Stock,$353.89,-0.17,-0.048%,15959377330.00,United States,2004,431150,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$130.34,4.46,3.543%,51576855086.00,United States,2018,41872870,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRTX,Mirati Therapeutics Inc. Common Stock,$236.80,-1.33,-0.559%,11906559981.00,United States,,280710,Health Care,Major Pharmaceuticals
MRVL,Marvell Technology Group Ltd. Common Stock,$46.41,-0.74,-1.569%,31178238000.00,Bermuda,2000,5695629,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$221.02,-2.92,-1.304%,1671020819068.00,United States,1986,18693133,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$153.39,-2.73,-1.749%,40799169797.00,United States,,1090343,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$69.95,-0.49,-0.696%,78127763635.00,United States,,8513293,Technology,Semiconductors
MXIM,Maxim Integrated Products Inc. Common Stock,$85.82,-0.59,-0.683%,22939788555.00,United States,1988,1563802,Technology,Semiconductors
NDAQ,Nasdaq Inc. Common Stock,$127.95,-1.95,-1.501%,20988610536.00,United States,,493145,Finance,Investment Bankers/Brokers/Service
